numero_uai;appellation_officielle;denomination_principale;patronyme_uai;secteur_public_prive_libe;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;libelle_commune;coordonnee_x;coordonnee_y;epsg;latitude;longitude;appariement;localisation;nature_uai;nature_uai_libe;etat_etablissement;etat_etablissement_libe;code_departement;code_region;code_academie;code_commune;libelle_departement;libelle_region;libelle_academie;position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0062310D;Ecole secondaire privée Happiness school;ECOLE SECONDAIRE PRIVEE;HAPPINESS SCHOOL;Privé;95 avenue de la Libération;;;06130;GRASSE;Grasse;1015705.4;6290529.6;EPSG:2154;43.643388864554744;6.913298063540014;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;006;93;23;06069;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.643388864554744,6.913298063540014;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2021-01-22
0610622V;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;37 rue du Mont Saint-Michel;;;61350;ST MARS D EGRENNE;Saint-Mars-d'Egrenne;424623.4;6835487.7;EPSG:2154;48.56101277338181;-0.7332898906455706;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;061;28;70;61421;Orne;Normandie;Normandie;48.56101277338181,-0.7332898906455706;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-05
0080035V;Collège Arthur Rimbaud;COLLEGE;ARTHUR RIMBAUD;Public;20 quai CHARCOT;;;08000;CHARLEVILLE MEZIERES;Charleville-Mézières;824422.8;6965411.0;EPSG:2154;49.7753793860485;4.726330199380721;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;008;44;19;08105;Ardennes;Grand Est;Reims;49.7753793860485,4.726330199380721;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1971-02-12
0610624X;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;Public;Route d'Ecorcei;;;61270;LES ASPRES;Les Aspres;523475.4;6846364.3;EPSG:2154;48.693295139454115;0.6013193490261763;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;061;28;70;61422;Orne;Normandie;Normandie;48.693295139454115,0.6013193490261763;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-04
0080036W;Collège Jean Rogissart;COLLEGE;JEAN ROGISSART;Public;9 rue BARA;;23;08700;NOUZONVILLE;Nouzonville;825729.3;6970165.6;EPSG:2154;49.817827897579626;4.74591000737515;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;008;44;19;08328;Ardennes;Grand Est;Reims;49.817827897579626,4.74591000737515;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0610651B;école élémentaire Pierre Bourdan;ECOLE ELEMENTAIRE PUBLIQUE;PIERRE BOURBAN (LA SAUVAGERE);Public;ROUTE 1 CHEMIN DU VIEUX MOULIN;LA SAUVAGERE;;61600;LES MONTS D ANDAINE;Les Monts d'Andaine;448457.0;6841158.8;EPSG:2154;48.621672974138086;-0.4139200443567662;Moyenne;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;061;28;70;61463;Orne;Normandie;Normandie;48.621672974138086,-0.4139200443567662;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-04
0080079T;Collège Fred Scamaroni;COLLEGE;FRED SCAMARONI;Public;8 rue FRED SCAMARONI;;;08000;CHARLEVILLE MEZIERES;Charleville-Mézières;822186.1;6964295.5;EPSG:2154;49.76579473051388;4.694974081201497;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;008;44;19;08105;Ardennes;Grand Est;Reims;49.76579473051388,4.694974081201497;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-27
0610693X;Collège privé Notre-Dame;COLLEGE PRIVE;NOTRE DAME;Privé;49 rue de Lancrel;;;61000;ALENCON;Alençon;484205.0;6818856.4;EPSG:2154;48.4340974739686;0.08194943728871554;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;061;28;70;61001;Orne;Normandie;Normandie;48.4340974739686,0.08194943728871554;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-02-06
0080084Y;Collège privé Saint Jean-Baptiste de La Salle;COLLEGE PRIVE;ST JEAN-BAPTISTE DE LA SALLE;Privé;20 rue MADAME DE SEVIGNE;;;08000;CHARLEVILLE MEZIERES;Charleville-Mézières;823705.5;6964711.8;EPSG:2154;49.769239323476796;4.716170200956684;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;008;44;19;08105;Ardennes;Grand Est;Reims;49.769239323476796,4.716170200956684;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-06-16
0610699D;Collège privé Esat de Giel;COLLEGE PRIVE;GIEL DON BOSCO;Privé;Lieu-dit Les Cours;;;61210;GIEL COURTEILLES;Giel-Courteilles;465577.5;6855223.4;EPSG:2154;48.754504094556324;-0.18952949509433986;Correcte;Rue;340;COLLEGE;1;OUVERT;061;28;70;61189;Orne;Normandie;Normandie;48.754504094556324,-0.18952949509433986;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-02-06
